,date,restaurant_id,*,**,***
12187,2007-02-12,1JEbDQoR,0,0,0
14966,2007-02-12,1JEbamOR,10,1,5
2386,2007-02-12,7RO5vjEq,0,0,0
21560,2007-02-12,8gOqR0E2,0,0,0
800,2007-02-12,B1oXAQOV,0,0,0
18738,2007-02-13,1JEbamOR,10,1,5
31743,2007-02-13,m0oWmREG,0,0,0
9637,2007-02-13,njoZ1D3r,0,0,0
27523,2007-02-14,Pk3wJwEd,0,0,0
1651,2007-02-14,geEVRzEz,0,0,0
6663,2007-02-14,xWoY9KoK,2,0,0
10761,2007-02-14,xWoYKEKn,0,0,0
8963,2007-02-15,Y1EmwVow,0,0,0
28027,2007-02-15,p038VvOm,0,0,0
23085,2007-02-15,rNo6DdE6,0,0,0
11148,2007-02-15,we392Nok,0,0,0
8953,2007-02-16,9JoPaeO8,0,0,0
25180,2007-02-16,VpoGrg3r,0,0,0
25782,2007-02-16,dj3djjO9,1,0,0
5589,2007-02-16,p038VvOm,0,0,0
30865,2007-02-20,B1oX4moV,0,0,0
17679,2007-02-20,rNo6DdE6,0,0,0
11966,2007-02-22,1JEbamOR,8,1,1
24312,2007-02-22,Y1EmwVow,0,0,0
23635,2007-02-22,dj3dGjE9,0,0,0
23700,2007-02-22,geEVVdEz,0,0,0
355,2007-02-22,m0oWz13G,0,0,0
2193,2007-02-23,6Wo2vGo9,0,0,0
2978,2007-02-23,9JoPaeO8,0,0,0
7608,2007-02-26,1JEb4JoR,0,0,0
15550,2007-02-26,N6OkzKox,0,0,0
22728,2007-02-26,NbE1bk3J,0,0,0
28033,2007-02-27,1m3Mj9oB,0,0,0
22215,2007-02-27,7RO54Woq,7,0,1
7137,2007-02-27,B1oX66EV,0,0,0
25343,2007-02-27,v5oJJJoB,0,0,0
13468,2007-02-28,geEVRzEz,0,0,0
8779,2007-02-28,geEVavOz,0,0,0
28886,2007-03-01,6Wo2a639,9,0,3
4310,2007-03-01,B1oX66EV,0,0,0
28681,2007-03-01,JBEyG0o8,33,3,15
29079,2007-03-01,VpoGpvOr,0,0,0
13579,2007-03-01,nkOvQ8oB,0,0,0
2675,2007-03-02,6Wo2YN39,0,0,0
18772,2007-03-02,geEVVdEz,0,0,0
17657,2007-03-05,0ZEDnpoD,12,1,10
526,2007-03-05,1JEbN7ER,9,0,1
14154,2007-03-06,1m3Mj9oB,0,0,0
14116,2007-03-07,1JEbr1ER,0,0,0
9227,2007-03-07,8KoA4536,0,0,0
19881,2007-03-07,eVOBWeEj,4,0,0
33282,2007-03-08,8x3zy2Ek,4,0,0
13471,2007-03-09,7RO54Woq,7,0,0
33061,2007-03-09,8x3zA9Ek,0,0,0
12970,2007-03-09,Y1EmZ93w,0,0,0
24191,2007-03-09,geEVavOz,0,0,0
11953,2007-03-10,Y1EmZ93w,0,0,0
2094,2007-03-12,6VOpwdoL,0,0,0
17427,2007-03-12,N6OkzKox,0,0,0
4728,2007-03-12,v5oJN8oB,0,0,0
8630,2007-03-13,0j3Lpj3r,0,0,0
29844,2007-03-13,6Wo2a639,9,0,3
4777,2007-03-13,JBEyG0o8,3,0,0
25242,2007-03-14,6Wo2wYO9,8,0,3
19095,2007-03-19,1JEbN7ER,9,0,1
1861,2007-03-19,VpoGpvOr,0,0,0
29659,2007-03-19,njoZ4YEr,0,0,0
32276,2007-03-19,v5oJN8oB,0,0,0
12555,2007-03-21,njoZ4YEr,0,0,0
5676,2007-03-22,8gOqGA32,0,0,0
20429,2007-03-22,dj3d9Ao9,0,0,0
8999,2007-03-22,rNo6w6O6,0,0,0
12020,2007-03-23,1JEbXYoR,10,2,2
23644,2007-03-23,qN3gpYoA,4,1,0
30118,2007-03-25,0j3LLx3r,0,0,0
23403,2007-03-25,8KoA65O6,0,0,0
11269,2007-03-25,Pk3wrqEd,0,0,0
5572,2007-03-25,XJ3r1bER,0,0,0
16391,2007-03-25,dj3dz7O9,0,0,0
5929,2007-03-25,xWoYGMEK,0,0,0
7966,2007-03-26,6Wo2wYO9,8,0,3
8754,2007-03-26,8x3zA9Ek,0,0,0
18610,2007-03-26,9JoPR5E8,0,0,0
26745,2007-03-26,NbE19kEJ,22,2,4
19492,2007-03-26,ZBEnJpEY,0,0,0
28729,2007-03-26,eVOBLr3j,0,0,0
26193,2007-03-26,qN3gJ2EA,0,0,0
972,2007-03-27,7RO5DXoq,2,0,0
4602,2007-03-27,NbE1jm3J,15,2,4
5029,2007-03-27,Y1Em57Ew,7,0,2
3543,2007-03-28,7RO5DXoq,13,0,8
15314,2007-03-28,WwOaZpEB,0,0,0
21335,2007-03-28,qN3gpYoA,4,1,0
7102,2007-03-29,1m3MdkEB,0,0,0
10256,2007-03-29,m0oWLPOG,0,0,0
29439,2007-03-29,rNo6w6O6,0,0,0
25322,2007-03-30,7RO5DXoq,10,0,6
32912,2007-03-30,m0oWqlEG,5,0,0
5934,2007-03-31,1JEbM4OR,0,0,0
9870,2007-03-31,1JEbYwOR,0,0,0
12395,2007-03-31,8x3z1NEk,0,0,0
19141,2007-03-31,9JoP2qE8,0,0,0
18828,2007-03-31,eVOBZ6Oj,0,0,0
3106,2007-03-31,lnORZeON,0,0,0
22760,2007-03-31,qN3gK03A,0,0,0
25616,2007-03-31,we39kZOk,0,0,0
16828,2007-04-01,1m3MNboB,0,0,0
9744,2007-04-01,1m3MlLEB,0,0,0
30889,2007-04-01,8x3zQZEk,0,0,0
18849,2007-04-01,JGoN8dEL,0,0,0
5623,2007-04-01,WeEewmoa,0,0,0
1752,2007-04-01,xWoYWMEK,0,0,0
9220,2007-04-02,7RO5JrEq,0,0,0
3795,2007-04-02,eVOB91oj,3,0,0
32049,2007-04-02,m0oWrz3G,0,0,0
9872,2007-04-02,wmo74GOq,0,0,0
8594,2007-04-03,ZBEnJpEY,0,0,0
13558,2007-04-03,eVOBLr3j,0,0,0
18609,2007-04-04,xWoYqvoK,8,1,7
22790,2007-04-05,1m3MdkEB,0,0,0
11324,2007-04-05,JGoN2WoL,0,0,0
12895,2007-04-05,WwOaZpEB,0,0,0
297,2007-04-05,Y1Em57Ew,10,0,2
1035,2007-04-05,ZBEnDYoY,15,2,5
18278,2007-04-06,ZBEnNqEY,3,0,0
19712,2007-04-06,m0oWqlEG,5,0,0
8369,2007-04-09,8x3z6Y3k,0,0,0
21317,2007-04-09,9JoPR5E8,0,0,0
12368,2007-04-09,NbE19kEJ,17,2,4
8884,2007-04-09,rNo6LXE6,6,1,0
26230,2007-04-11,B1oXKN3V,7,0,0
10534,2007-04-11,Pk3wmwOd,12,0,2
10932,2007-04-12,8KoAnaO6,1,0,0
30961,2007-04-12,B1oXJqEV,3,0,0
25156,2007-04-12,Y1Em57Ew,6,0,0
22290,2007-04-12,m0oWrz3G,0,0,0
9415,2007-04-12,xWoYqvoK,8,1,7
349,2007-04-13,0j3LmZor,0,0,0
9452,2007-04-13,7RO526Eq,0,0,0
14969,2007-04-13,ZBEnNqEY,3,0,0
5940,2007-04-16,eVOB91oj,3,0,0
29872,2007-04-17,7RO5DXoq,6,0,4
13309,2007-04-17,8x3z6Y3k,0,0,0
22026,2007-04-17,NbE1jm3J,15,2,4
24055,2007-04-17,p038RaOm,4,1,2
12195,2007-04-18,6K3lNvOz,0,0,2
32590,2007-04-18,eVOBnpOj,5,0,4
20804,2007-04-18,ydEjM1OW,11,1,3
20388,2007-04-19,6VOpkmoL,8,0,0
8631,2007-04-19,7RO5XVoq,0,0,0
24042,2007-04-19,ZBEnAqOY,18,4,2
33397,2007-04-19,ZBEnDYoY,15,2,5
21530,2007-04-19,xWoYWMEK,14,4,2
11718,2007-04-20,1JEb713R,3,0,0
18317,2007-04-20,6K3lG5Ez,6,0,4
3895,2007-04-20,B1oXmqOV,3,0,0
27639,2007-04-20,JBEyMRE8,6,0,0
828,2007-04-20,V430Xb3B,8,2,2
22844,2007-04-20,Y1EmY7Ew,3,0,1
2806,2007-04-20,lnORDD3N,8,1,3
7842,2007-04-20,m0oWgloG,36,6,6
19081,2007-04-20,wmo7nd3q,1,1,0
18529,2007-04-23,8KoAMQo6,2,0,0
25197,2007-04-24,9JoP7j38,13,2,8
14886,2007-04-24,V430Xb3B,8,2,2
15759,2007-04-24,Y1EmpROw,2,0,1
27447,2007-04-24,geEV2dEz,7,0,2
20832,2007-04-25,0j3L7vEr,0,0,0
6863,2007-04-25,0j3Lqjor,0,0,0
18026,2007-04-25,1m3M9k3B,0,0,0
1343,2007-04-25,6K3lQKoz,0,0,0
7660,2007-04-25,XJ3r9RER,0,0,0
20755,2007-04-26,1JEb713R,3,0,0
11487,2007-04-26,6K3l1xoz,25,2,13
12363,2007-04-26,Pk3wVVEd,11,3,5
11882,2007-04-26,V430l53B,4,2,4
2874,2007-04-26,Y1EmRn3w,5,1,2
25126,2007-04-26,ZBEnDYoY,15,2,5
6180,2007-04-26,eVOBnpOj,8,3,1
22802,2007-04-27,6K3lQqoz,0,0,0
32988,2007-04-27,9JoPbdE8,6,0,0
28746,2007-04-27,B1oXJqEV,0,0,0
2487,2007-04-27,B1oXmqOV,3,0,0
10178,2007-04-27,JGoNqk3L,2,0,0
23846,2007-04-27,Y1EmY7Ew,3,0,1
6501,2007-04-27,ZBEnaqOY,6,0,2
18675,2007-04-27,qN3gJ2EA,0,0,0
6568,2007-04-30,6K3l1xoz,17,3,11
9820,2007-04-30,7RO5DXoq,2,0,2
14738,2007-04-30,lnORDD3N,8,1,3
25151,2007-04-30,m0oWgloG,15,2,2
23908,2007-04-30,rNo6LXE6,6,1,0
10873,2007-05-01,9JoP8jo8,4,0,2
5560,2007-05-01,9JoPY7O8,0,0,0
1,2007-05-01,JGoN6YoL,10,0,2
24057,2007-05-01,N6OkRvox,19,2,5
10716,2007-05-01,Y1EmpROw,3,0,1
7826,2007-05-01,ZBEn2WEY,1,0,0
9189,2007-05-01,p038ADom,0,0,1
813,2007-05-01,p038RaOm,4,1,2
21079,2007-05-01,v5oJA83B,5,0,0
11402,2007-05-01,wmo7Gdoq,3,0,0
29857,2007-05-01,xWoYqvoK,0,0,0
26109,2007-05-02,0ZEDWxOD,5,1,2
1185,2007-05-02,8KoAjKO6,6,1,0
21382,2007-05-02,9JoPv5E8,0,0,0
24452,2007-05-02,JBEyMRE8,6,0,0
26048,2007-05-02,N6OkLgEx,0,0,0
30615,2007-05-02,WeEe6W3a,7,0,1
31929,2007-05-02,WwOaXpoB,16,4,2
1939,2007-05-02,dj3dkXE9,6,0,0
12281,2007-05-02,eVOBWeEj,0,0,0
2574,2007-05-02,p038Xv3m,0,0,0
24321,2007-05-02,rNo6lgE6,6,0,2
24214,2007-05-02,v5oJA83B,5,0,0
224,2007-05-03,0ZEDeW3D,10,0,8
22388,2007-05-03,6VOp2B3L,5,0,4
12231,2007-05-03,9JoPv5E8,0,0,0
27862,2007-05-03,V430w7EB,11,2,3
19269,2007-05-03,Y1EmRn3w,5,1,2
13348,2007-05-03,eVOBnpOj,5,0,4
30431,2007-05-03,geEV2dEz,7,0,2
16012,2007-05-04,8gOqpro2,14,0,1
25296,2007-05-04,8x3zPZOk,8,0,0
31291,2007-05-04,8xEx8yE0,12,2,0
25202,2007-05-04,9JoPY7O8,0,0,0
30969,2007-05-04,9JoPbdE8,6,0,0
18936,2007-05-04,JGoNK8OL,3,0,2
30626,2007-05-04,dj3dGgE9,3,0,2
10037,2007-05-04,geEVMJOz,1,0,0
22078,2007-05-04,xWoYRrOK,0,0,0
25962,2007-05-05,0ZEDeW3D,2,0,0
25706,2007-05-07,0ZEDWxOD,5,1,2
9479,2007-05-07,0j3Llq3r,5,0,3
27343,2007-05-07,1m3MxLEB,0,0,0
20945,2007-05-07,6K3l15oz,2,0,0
3903,2007-05-07,6K3lGgEz,6,0,0
23310,2007-05-07,6Wo228o9,10,1,1
21611,2007-05-07,8KoAB4O6,26,0,5
21800,2007-05-07,KAoKWjog,0,0,1
18240,2007-05-07,ZBEnaqOY,6,0,2
20274,2007-05-07,eVOBL3jr,12,4,2
8420,2007-05-07,m0oWgloG,13,2,2
20461,2007-05-08,1m3MxLEB,10,0,2
17359,2007-05-08,6K3lG5Ez,6,0,4
1871,2007-05-08,6VOpnd3L,2,0,3
8498,2007-05-08,dj3d7aE9,23,1,6
2444,2007-05-08,m0oW5wEG,4,0,1
18489,2007-05-08,rJoQ9loV,3,0,0
9200,2007-05-09,0j3L7vEr,0,0,0
28396,2007-05-09,0j3Lqjor,0,0,0
27065,2007-05-09,ZBEnjpEY,12,2,3
2812,2007-05-09,eVOBZ6Oj,9,1,0
29073,2007-05-09,geEVyeOz,6,0,1
29810,2007-05-09,lnORPD3N,12,2,0
7727,2007-05-09,rJoQlq3V,9,0,0
28545,2007-05-09,rJoQpa3V,2,1,0
26489,2007-05-09,we3905Ek,3,1,0
27394,2007-05-09,we39Al3k,6,0,0
12522,2007-05-10,0ZED4ED9,6,0,1
12351,2007-05-10,0ZEDQG3D,1,0,0
18584,2007-05-10,0ZEDeW3D,4,0,0
11753,2007-05-10,1m3M5p3B,20,2,6
2736,2007-05-10,6K3l2eOz,10,2,2
15961,2007-05-10,6Wo2K6O9,28,0,4
19139,2007-05-10,8xExw6O0,10,2,5
9054,2007-05-10,9JoP7j38,13,2,8
5899,2007-05-10,JGoNqk3L,2,0,0
25405,2007-05-10,N6OkDvEx,16,2,6
25228,2007-05-10,V430Xb3B,1,1,1
3472,2007-05-10,V430w7EB,11,2,3
11257,2007-05-10,WwOapwoB,18,0,2
28981,2007-05-10,geEVyeOz,6,0,1
30666,2007-05-10,xWoYJvOK,0,0,0
32014,2007-05-11,6K3lG5Ez,6,0,3
3532,2007-05-11,6VOp2B3L,5,0,4
26393,2007-05-11,8KoA15o6,11,1,10
901,2007-05-11,V4305yoB,1,0,0
19211,2007-05-11,WeEe6W3a,7,0,1
32205,2007-05-11,dj3dGgE9,3,0,2
5271,2007-05-11,njoZqQ3r,6,0,1
17670,2007-05-11,rJoQ9loV,6,0,0
13267,2007-05-11,rNo6v6o6,6,0,0
3617,2007-05-11,v5oJMA3B,20,0,6
6945,2007-05-14,8KoA15o6,1,0,0
20262,2007-05-14,8gOq9MO2,2,0,0
2375,2007-05-14,B1oXKN3V,16,2,4
14140,2007-05-14,KAoKWjog,0,0,1
21258,2007-05-14,NbE1bk3J,14,1,4
5058,2007-05-14,njoZgbOr,0,0,0
18170,2007-05-14,rJoQlq3V,3,0,0
31780,2007-05-15,0ZED4pED,16,0,0
14399,2007-05-15,JBEybN38,6,2,0
29425,2007-05-15,NbE1jm3J,0,1,0
10313,2007-05-15,WwOaVdEB,2,0,0
15201,2007-05-15,lnOR6LON,4,0,1
22606,2007-05-15,lnOReVoN,8,1,1
30078,2007-05-15,lnORjnON,0,0,0
31346,2007-05-15,m0oW5wEG,4,0,1
12851,2007-05-15,m0oWyPEG,32,2,4
26821,2007-05-15,nkOv58oB,13,0,0
31360,2007-05-15,nkOvJ8OB,4,0,1
21515,2007-05-15,p038rzOm,12,2,2
12415,2007-05-15,rNo65X36,6,1,1
15564,2007-05-15,we39KZOk,8,0,5
12016,2007-05-16,0j3Llq3r,5,0,3
23347,2007-05-16,1m3MVYoB,2,0,3
15354,2007-05-16,6Wo228o9,10,1,1
23751,2007-05-16,8x3zPZOk,8,0,0
10209,2007-05-16,B1oXKN3V,16,2,4
16203,2007-05-16,Pk3wKx3d,4,1,0
27097,2007-05-16,Pk3wqxOd,6,0,2
7156,2007-05-16,WwOaVdEB,0,0,0
11332,2007-05-16,dj3djjO9,8,0,2
33463,2007-05-16,eVOBgpEj,18,2,2
24148,2007-05-16,geEVeBOz,10,0,0
12158,2007-05-16,rJoQpa3V,2,1,0
24979,2007-05-16,we397lOk,6,0,0
24203,2007-05-16,we39KZOk,2,0,1
4594,2007-05-17,0ZED4ED9,6,0,1
4313,2007-05-17,1m3M8pEB,12,2,0
13091,2007-05-17,7RO5KX3q,8,0,0
32364,2007-05-17,8xExBJo0,7,2,0
30479,2007-05-17,8xExw6O0,10,2,4
15629,2007-05-17,Y1Em57Ew,1,0,0
31690,2007-05-17,geEVNvEz,6,0,0
9326,2007-05-17,njoZGbOr,8,0,2
23620,2007-05-17,nkOvGMEB,4,0,0
3428,2007-05-17,rNo65X36,6,1,1
235,2007-05-18,6VOpLmOL,10,1,5
29394,2007-05-18,8gOq8no2,24,2,6
2280,2007-05-18,KAoKjd3g,18,0,0
21422,2007-05-18,NbE1xaOJ,11,1,1
23303,2007-05-18,WeEeKaoa,2,0,2
6735,2007-05-18,ZBEnjpEY,12,2,3
15686,2007-05-18,dj3dlN39,2,0,0
32565,2007-05-18,we39Al3k,2,0,0
20475,2007-05-18,ydEjM1OW,11,1,3
8468,2007-05-21,1JEbP4oR,18,2,6
30717,2007-05-21,6K3lQqoz,6,0,0
19874,2007-05-21,6Wo2W8O9,9,0,0
11360,2007-05-21,8KoA15o6,5,0,13
17395,2007-05-21,8KoAB4O6,2,2,0
15055,2007-05-21,B1oXKN3V,16,2,4
19968,2007-05-21,Pk3wmwOd,0,0,0
19743,2007-05-21,dj3d7aE9,0,0,0
6299,2007-05-21,dj3dm5o9,6,0,0
13670,2007-05-21,geEVMJOz,22,0,0
11,2007-05-21,lnORLK3N,10,0,4
7366,2007-05-21,wmo7qbEq,6,0,0
33196,2007-05-21,ydEj4VoW,5,1,1
25826,2007-05-22,0ZEDZ4oD,2,0,0
8909,2007-05-22,0ZEDdkED,4,0,0
28933,2007-05-22,6K3l15oz,2,0,0
9448,2007-05-22,6VOpAQEL,0,0,0
15077,2007-05-22,6VOpnd3L,1,0,3
4450,2007-05-22,8KoAZaO6,0,0,0
27118,2007-05-22,8KoAjKO6,6,1,0
6114,2007-05-22,8x3zx2Ok,1,0,0
22188,2007-05-22,JGoNAb3L,0,0,0
8697,2007-05-22,KAoKY6Eg,0,0,2
33325,2007-05-22,Pk3wmwOd,12,0,2
3596,2007-05-22,V430G4EB,7,1,0
11066,2007-05-22,WeEeXdOa,0,0,0
1362,2007-05-22,ZBEnpYoY,0,0,0
1463,2007-05-22,dj3d7aE9,15,1,6
3897,2007-05-22,dj3dr7O9,1,0,0
29111,2007-05-22,eVOB8w3j,0,0,0
17895,2007-05-22,geEVvJEz,0,0,0
18097,2007-05-22,m0oWRQ3G,5,0,0
669,2007-05-22,njoZ1D3r,4,1,0
25882,2007-05-22,njoZgbOr,0,0,0
27624,2007-05-22,rJoQkrEV,0,0,0
30216,2007-05-22,v5oJQ13B,0,0,0
8489,2007-05-22,wmo749Oq,0,0,0
21712,2007-05-23,1JEbP4oR,18,2,6
14195,2007-05-23,8xExP9E0,5,0,1
30575,2007-05-23,JBEy6m38,8,2,6
10616,2007-05-23,eVOBZ6Oj,9,1,0
14627,2007-05-23,rJoQ9loV,3,0,0
9780,2007-05-23,rNo69l36,0,0,0
5220,2007-05-23,we3905Ek,3,1,0
8731,2007-05-24,7RO5KX3q,0,0,0
28590,2007-05-24,9JoP2qE8,8,0,0
16084,2007-05-24,KAoKY6Eg,4,0,8
9202,2007-05-24,Pk3wMKOd,10,0,2
27207,2007-05-24,Y1EmkAow,10,1,2
1444,2007-05-24,lnORPD3N,12,2,0
25226,2007-05-24,nkOv1loB,6,0,0
30199,2007-05-24,p038ADom,12,3,2
2124,2007-05-24,qN3gK03A,18,0,10
19965,2007-05-24,rJoQeAoV,10,0,0
29834,2007-05-24,rJoQrqOV,0,2,0
510,2007-05-24,ydEjW23W,6,0,0
23146,2007-05-25,8xExBJo0,7,2,0
18050,2007-05-25,VpoGz73r,4,1,2
2081,2007-05-25,Y1Em0mOw,4,0,0
4220,2007-05-25,dj3djjO9,8,0,2
19129,2007-05-25,eVOBreOj,10,0,4
23838,2007-05-25,m0oWDJOG,2,0,0
13585,2007-05-25,ydEjeOW0,6,1,0
11144,2007-05-29,6K3lW6Ez,5,1,1
7895,2007-05-29,NbE1bk3J,18,1,4
397,2007-05-29,eVOBJkOj,20,0,6
3905,2007-05-29,njoZ1D3r,4,1,0
25519,2007-05-29,wmo7Nv3q,10,2,0
20934,2007-05-29,wmo7nd3q,1,1,0
29187,2007-05-29,ydEj4VoW,5,1,1
25017,2007-05-30,1JEbP4oR,8,1,0
20638,2007-05-30,1m3MJDoB,32,0,6
764,2007-05-30,8xExP9E0,5,0,1
14599,2007-05-30,NbE1bk3J,22,0,10
24005,2007-05-30,Y1EmanEw,4,0,0
1265,2007-05-30,Y1EmymEw,18,2,4
7365,2007-05-30,m0oWRQ3G,5,0,0
28935,2007-05-30,nkOvZOBW,8,0,0
22404,2007-05-30,p038m8om,14,2,4
7194,2007-05-30,qN3glYoA,8,0,0
29171,2007-05-30,rJoQ6WOV,6,0,0
9663,2007-05-30,rNo6v6o6,6,0,0
11011,2007-05-30,wmo7AvEq,5,1,1
18120,2007-05-30,xWoYYAoK,0,0,0
6580,2007-05-31,1JEbKN3R,8,1,2
22083,2007-05-31,6K3lG5Ez,6,0,3
28386,2007-05-31,8xExw6O0,3,0,0
9142,2007-05-31,N6OkZgox,16,0,5
28128,2007-05-31,N6OkkGOx,16,4,2
5238,2007-05-31,Pk3w02od,6,1,2
26653,2007-05-31,V430w7EB,4,0,0
10261,2007-05-31,WeEeKaoa,22,0,4
10043,2007-05-31,XJ3rDpOR,2,0,0
11374,2007-05-31,dj3dX539,10,0,0
20001,2007-05-31,eVOB8w3j,6,0,0
22221,2007-05-31,ekE4GjO2,0,0,0
22642,2007-05-31,lnORPD3N,8,1,0
33037,2007-05-31,lnORbLON,4,2,2
635,2007-05-31,p038ADom,12,3,3
23735,2007-05-31,p038beOm,1,0,0
17153,2007-05-31,rNo6v6o6,1,0,0
24557,2007-06-01,NbE12N3J,4,0,1
27390,2007-06-01,Pk3w713d,0,0,0
32316,2007-06-01,V430BAOB,14,2,0
24240,2007-06-01,V430G4EB,7,1,0
32614,2007-06-01,WeEeqwEa,11,1,0
4733,2007-06-01,Y1EmLmOw,6,1,0
24147,2007-06-01,Y1EmkAow,10,1,2
9185,2007-06-04,0ZEDGWOD,5,1,0
11722,2007-06-04,6Wo2y539,6,1,2
28473,2007-06-04,8x3zG9ok,3,0,1
3681,2007-06-04,JBEyG0o8,4,0,1
10978,2007-06-04,Pk3wQqOd,1,0,0
31899,2007-06-04,VpoGz73r,4,1,2
13037,2007-06-04,Y1EmNn3w,2,0,10
213,2007-06-04,ZBEn02oY,11,1,2
3667,2007-06-04,dj3d1Xo9,3,0,1
9007,2007-06-04,ekE4xKE2,9,0,0
20182,2007-06-04,geEV4eoz,6,0,0
19274,2007-06-04,xWoYJvOK,20,2,8
18821,2007-06-05,1m3MJDoB,14,0,2
11985,2007-06-05,1m3MXnEB,11,2,1
6567,2007-06-05,N6Okrpox,9,1,0
15783,2007-06-05,NbE1xaOJ,11,1,1
32956,2007-06-05,Pk3wrqEd,5,0,6
27992,2007-06-05,dj3dDj39,4,1,0
3691,2007-06-05,lnORvnON,7,2,2
16672,2007-06-05,we39ZAok,10,2,1
26174,2007-06-05,we39j9ok,8,0,4
14032,2007-06-05,wmo7qbEq,6,0,0
24503,2007-06-05,xWoYRrOK,12,0,10
1256,2007-06-05,ydEjgP3W,7,0,0
3219,2007-06-06,0j3Llq3r,2,0,2
4643,2007-06-06,6K3lW6Ez,5,1,1
9671,2007-06-06,6Wo228o9,4,0,0
7995,2007-06-06,JBEyvm38,6,0,1
20401,2007-06-06,JGoNGdOL,0,0,0
30287,2007-06-06,N6OkxvEx,14,1,7
336,2007-06-06,dj3daao9,9,1,2
15549,2007-06-06,geEV8zoz,15,0,7
2986,2007-06-06,njoZD1Er,2,0,0
18516,2007-06-06,nkOvAaoB,8,0,0
31740,2007-06-06,p038m8om,5,0,2
19120,2007-06-06,qN3g7M3A,10,0,0
21279,2007-06-07,B1oXKN3V,15,2,4
32469,2007-06-07,B1oXz1EV,0,0,0
22982,2007-06-07,N6OkkGOx,2,0,2
